,accuracy,f1_score,precision,recall,roc_auc,average_precision
RandomForest,0.7341772151898734,0.8037383177570093,0.7166666666666667,0.9148936170212766,0.8211436170212766,0.8842880293974368
GradientBoosting,0.7721518987341772,0.8125,0.7959183673469388,0.8297872340425532,0.8404255319148937,0.889280477949364
SVM_RBF,0.6962025316455697,0.75,0.7346938775510204,0.7659574468085106,0.8001994680851063,0.8742227617059795
LogisticRegression,0.759493670886076,0.8041237113402062,0.78,0.8297872340425532,0.8450797872340425,0.9063359865169763
CatBoost,0.7721518987341772,0.8085106382978723,0.8085106382978723,0.8085106382978723,0.8490691489361702,0.9028646362122924
XGBoost,0.7341772151898734,0.7789473684210526,0.7708333333333334,0.7872340425531915,0.8550531914893617,0.9022717987098592
