mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8340295791625976,0.001350768160770702,0.002797365188598633,0.00016612126527462532,0.5870727711973196,7.277257431773251,0.32944486821010927,6,14,443,0.001275228497694486,3.013064775868027,0.6522316555182531,"OrderedDict({'colsample_bytree': 0.5870727711973196, 'gamma': 7.277257431773251, 'learning_rate': 0.32944486821010927, 'max_depth': 6, 'min_child_weight': 14, 'n_estimators': 443, 'reg_alpha': 0.001275228497694486, 'reg_lambda': 3.013064775868027, 'subsample': 0.6522316555182531})",0.6352941176470588,0.723404255319149,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.7127653156188825,0.05406801992221893,147
0.16320672035217285,0.002919369479531396,0.0029111385345458986,0.0005016179907570476,0.8861718488872989,8.833152773808623,0.006590142197357617,14,17,109,6.758514185447544e-05,0.5095359082904494,0.8178645509395852,"OrderedDict({'colsample_bytree': 0.8861718488872989, 'gamma': 8.833152773808623, 'learning_rate': 0.006590142197357617, 'max_depth': 14, 'min_child_weight': 17, 'n_estimators': 109, 'reg_alpha': 6.758514185447544e-05, 'reg_lambda': 0.5095359082904494, 'subsample': 0.8178645509395852})",0.7419354838709677,0.7377049180327869,0.7394957983193278,0.7377049180327869,0.7288135593220338,0.7371309355155806,0.004438781805515915,125
0.2984790802001953,0.004555427905056305,0.003091573715209961,0.00035036983978994744,0.6113827586108063,9.18722521669377,0.0019187205350991966,8,5,481,8.564230042602063e-05,3.1849679224816905,0.7786702115169006,"OrderedDict({'colsample_bytree': 0.6113827586108063, 'gamma': 9.18722521669377, 'learning_rate': 0.0019187205350991966, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 481, 'reg_alpha': 8.564230042602063e-05, 'reg_lambda': 3.1849679224816905, 'subsample': 0.7786702115169006})",0.7627118644067796,0.7457627118644068,0.711864406779661,0.7350427350427351,0.7288135593220338,0.7368390554831232,0.016972933266992014,126
0.09739317893981933,0.019174906949562268,0.0033912181854248045,0.0011691670563407498,0.8686771918501544,1.718715613965607,0.041125493587640845,12,11,141,0.34261249458638526,5.562380663209308,0.9559644307534418,"OrderedDict({'colsample_bytree': 0.8686771918501544, 'gamma': 1.718715613965607, 'learning_rate': 0.041125493587640845, 'max_depth': 12, 'min_child_weight': 11, 'n_estimators': 141, 'reg_alpha': 0.34261249458638526, 'reg_lambda': 5.562380663209308, 'subsample': 0.9559644307534418})",0.7311827956989247,0.7157894736842105,0.7169811320754716,0.7021276595744681,0.7476635514018691,0.7227489224869889,0.015484229198111122,141
0.10643491744995118,0.0018558066067466822,0.002655363082885742,0.00013064803857390617,0.8596874091250211,4.380291864409234,0.026383488805177817,11,18,731,0.0035080714868908043,1.99787449871348,0.6765419227639857,"OrderedDict({'colsample_bytree': 0.8596874091250211, 'gamma': 4.380291864409234, 'learning_rate': 0.026383488805177817, 'max_depth': 11, 'min_child_weight': 18, 'n_estimators': 731, 'reg_alpha': 0.0035080714868908043, 'reg_lambda': 1.99787449871348, 'subsample': 0.6765419227639857})",0.6888888888888889,0.7378640776699029,0.7547169811320755,0.6739130434782609,0.75,0.7210765982338255,0.033197914172852505,143
0.10872220993041992,0.003442926128973787,0.002578592300415039,0.0001706323377378003,0.8138196125898978,9.393697376027717,0.0027642089425866604,4,16,404,0.005677368514194905,1.173627616370271,0.8926419685712479,"OrderedDict({'colsample_bytree': 0.8138196125898978, 'gamma': 9.393697376027717, 'learning_rate': 0.0027642089425866604, 'max_depth': 4, 'min_child_weight': 16, 'n_estimators': 404, 'reg_alpha': 0.005677368514194905, 'reg_lambda': 1.173627616370271, 'subsample': 0.8926419685712479})",0.7678571428571429,0.7543859649122807,0.7068965517241379,0.7321428571428571,0.7413793103448276,0.7405323653962492,0.020693162197704822,112
0.13149070739746094,0.0014618889351810853,0.0028981685638427733,0.00038227168067770463,0.7319555509516213,7.753643788278826,0.009310909900976862,13,12,615,0.07810252206527937,0.6984980079758242,0.866941242634403,"OrderedDict({'colsample_bytree': 0.7319555509516213, 'gamma': 7.753643788278826, 'learning_rate': 0.009310909900976862, 'max_depth': 13, 'min_child_weight': 12, 'n_estimators': 615, 'reg_alpha': 0.07810252206527937, 'reg_lambda': 0.6984980079758242, 'subsample': 0.866941242634403})",0.7474747474747475,0.7070707070707071,0.7090909090909091,0.7216494845360825,0.7547169811320755,0.7280005658609043,0.019641695123393713,137
0.03706545829772949,0.0017532932997593794,0.002587699890136719,0.0001717946806531859,0.6803821473832188,9.200092264373165,0.02187503422402094,13,7,99,0.026586845760065553,0.11261653741801549,0.6928647954923324,"OrderedDict({'colsample_bytree': 0.6803821473832188, 'gamma': 9.200092264373165, 'learning_rate': 0.02187503422402094, 'max_depth': 13, 'min_child_weight': 7, 'n_estimators': 99, 'reg_alpha': 0.026586845760065553, 'reg_lambda': 0.11261653741801549, 'subsample': 0.6928647954923324})",0.7924528301886793,0.7272727272727273,0.7207207207207207,0.7378640776699029,0.7663551401869159,0.7489330992077893,0.026777332752148515,42
0.049051427841186525,0.0007973229697520948,0.0026291847229003907,0.00015969436607115645,0.9688345904169497,7.00621444621366,0.22519690067643933,7,8,251,1.0008438031198488e-05,0.5512783985900913,0.7971894567956928,"OrderedDict({'colsample_bytree': 0.9688345904169497, 'gamma': 7.00621444621366, 'learning_rate': 0.22519690067643933, 'max_depth': 7, 'min_child_weight': 8, 'n_estimators': 251, 'reg_alpha': 1.0008438031198488e-05, 'reg_lambda': 0.5512783985900913, 'subsample': 0.7971894567956928})",0.75,0.723404255319149,0.7428571428571429,0.7032967032967034,0.7428571428571429,0.7324830488660277,0.017066660418850684,133
0.04776473045349121,0.003537607177888939,0.0037008285522460937,0.0004352543251566447,0.30254121507832027,8.178300196637515,0.10016128596433635,5,12,311,0.0007534177322060801,0.2019245732342464,0.9469190305262598,"OrderedDict({'colsample_bytree': 0.30254121507832027, 'gamma': 8.178300196637515, 'learning_rate': 0.10016128596433635, 'max_depth': 5, 'min_child_weight': 12, 'n_estimators': 311, 'reg_alpha': 0.0007534177322060801, 'reg_lambda': 0.2019245732342464, 'subsample': 0.9469190305262598})",0.7526881720430108,0.693069306930693,0.7222222222222222,0.7346938775510204,0.7706422018348624,0.7346631561163617,0.02647345462917511,128
