mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_l1_ratio,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004643869400024414,0.0005833627313536053,0.00169830322265625,0.00010431464311146109,0.07715551750592743,balanced,0.631068800739202,1333,l1,liblinear,"OrderedDict({'C': 0.07715551750592743, 'class_weight': 'balanced', 'l1_ratio': 0.631068800739202, 'max_iter': 1333, 'penalty': 'l1', 'solver': 'liblinear'})",0.7058823529411765,0.6753246753246753,0.6829268292682927,0.6666666666666666,0.6746987951807228,0.6810998638763068,0.013417549938336331,345
0.037192678451538085,0.010058337649985412,0.0020032405853271486,5.351430217385372e-05,43.42658056493013,balanced,0.23403306175538358,4818,l1,liblinear,"OrderedDict({'C': 43.42658056493013, 'class_weight': 'balanced', 'l1_ratio': 0.23403306175538358, 'max_iter': 4818, 'penalty': 'l1', 'solver': 'liblinear'})",0.7816091954022989,0.6881720430107527,0.7111111111111111,0.7741935483870968,0.7294117647058823,0.7368995325234284,0.036014650224647345,336
0.018967866897583008,0.0019480734755688456,0.0021944046020507812,0.00031436420440636567,0.0365891896391553,,0.49906746019450077,2049,elasticnet,saga,"OrderedDict({'C': 0.0365891896391553, 'class_weight': None, 'l1_ratio': 0.49906746019450077, 'max_iter': 2049, 'penalty': 'elasticnet', 'solver': 'saga'})",0.7961165048543689,0.7619047619047619,0.6796116504854369,0.7647058823529411,0.7272727272727273,0.7459223053740474,0.03968029500258825,304
0.013462638854980469,0.000655377167787312,0.00267939567565918,0.0002956841957305504,0.013627477599257504,balanced,0.4293250597109871,3793,elasticnet,liblinear,"OrderedDict({'C': 0.013627477599257504, 'class_weight': 'balanced', 'l1_ratio': 0.4293250597109871, 'max_iter': 3793, 'penalty': 'elasticnet', 'solver': 'liblinear'})",0.7142857142857143,0.6233766233766234,0.627906976744186,0.5714285714285714,0.6506024096385542,0.6375200590947299,0.046313381610003694,347
0.24006252288818358,0.04436892055602863,0.0020641326904296876,0.0002705176922332603,3.375503683806881,balanced,0.08212172486874438,1459,elasticnet,liblinear,"OrderedDict({'C': 3.375503683806881, 'class_weight': 'balanced', 'l1_ratio': 0.08212172486874438, 'max_iter': 1459, 'penalty': 'elasticnet', 'solver': 'liblinear'})",0.7954545454545454,0.7032967032967034,0.7045454545454546,0.7956989247311828,0.735632183908046,0.7469255623871864,0.041378724860918405,292
0.06525564193725586,0.007868686933832381,0.0021557331085205076,0.00014317994677198078,0.16790552142528983,,0.6671069626855638,4702,elasticnet,saga,"OrderedDict({'C': 0.16790552142528983, 'class_weight': None, 'l1_ratio': 0.6671069626855638, 'max_iter': 4702, 'penalty': 'elasticnet', 'solver': 'saga'})",0.7741935483870968,0.76,0.723404255319149,0.7708333333333334,0.75,0.7556862274079158,0.01824841519580767,270
0.46683740615844727,0.07966646528215482,0.0020208835601806642,0.000392721630286427,9.642197799826475,balanced,0.6759216293006739,2722,elasticnet,saga,"OrderedDict({'C': 9.642197799826475, 'class_weight': 'balanced', 'l1_ratio': 0.6759216293006739, 'max_iter': 2722, 'penalty': 'elasticnet', 'solver': 'saga'})",0.7954545454545454,0.6956521739130435,0.6966292134831461,0.7956989247311828,0.735632183908046,0.7438134082979927,0.04465803182561184,308
0.2390279769897461,0.0018938193605094642,0.0028647899627685545,0.0008384712291259283,4.763191124143751,balanced,0.8735160221382252,1230,elasticnet,saga,"OrderedDict({'C': 4.763191124143751, 'class_weight': 'balanced', 'l1_ratio': 0.8735160221382252, 'max_iter': 1230, 'penalty': 'elasticnet', 'solver': 'saga'})",0.8045977011494253,0.7032967032967034,0.7045454545454546,0.7956989247311828,0.735632183908046,0.7487541935261625,0.04362404907439174,287
0.6634960651397706,0.10977771498248771,0.0022466182708740234,0.00045044928879356725,21.944449138271548,,0.7158291057736258,3844,elasticnet,saga,"OrderedDict({'C': 21.944449138271548, 'class_weight': None, 'l1_ratio': 0.7158291057736258, 'max_iter': 3844, 'penalty': 'elasticnet', 'solver': 'saga'})",0.8222222222222222,0.7083333333333334,0.7252747252747253,0.7956989247311828,0.7692307692307693,0.7641519949584465,0.04247427245837505,171
0.00441889762878418,0.0004357439965857121,0.0020406246185302734,7.663353207844445e-05,0.011514205919416789,,0.9936547367164137,4235,elasticnet,liblinear,"OrderedDict({'C': 0.011514205919416789, 'class_weight': None, 'l1_ratio': 0.9936547367164137, 'max_iter': 4235, 'penalty': 'elasticnet', 'solver': 'liblinear'})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,315
0.008183479309082031,0.000677534745097726,0.0021235466003417967,0.0001559719985364023,23.38176068452206,,0.9756765754642686,5000,l2,liblinear,"OrderedDict({'C': 23.38176068452206, 'class_weight': None, 'l1_ratio': 0.9756765754642686, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'})",0.8222222222222222,0.7083333333333334,0.7252747252747253,0.7956989247311828,0.7692307692307693,0.7641519949584465,0.04247427245837505,171
0.006579351425170898,0.0011540333107890818,0.002064943313598633,0.0006190030856549076,2.8994778027887675,,1.0,5000,l2,liblinear,"OrderedDict({'C': 2.8994778027887675, 'class_weight': None, 'l1_ratio': 1.0, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'})",0.8222222222222222,0.7010309278350515,0.7111111111111111,0.7956989247311828,0.7777777777777778,0.7615681927354692,0.04757572140169277,242
