mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05622477531433105,0.0011475265225318536,0.0019512653350830078,0.0001004401079075611,0.0035442872058216,5,log2,2,6,60,0.765821052460723,"OrderedDict({'learning_rate': 0.0035442872058216, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 60, 'subsample': 0.765821052460723})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,330
0.11534805297851562,0.002415148655759713,0.002646780014038086,0.0001083213666680346,0.1789742083833043,4,sqrt,10,5,117,0.7858723085284756,"OrderedDict({'learning_rate': 0.1789742083833043, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 117, 'subsample': 0.7858723085284756})",0.8260869565217391,0.7628865979381443,0.6813186813186813,0.7708333333333334,0.7391304347826086,0.7560512007789015,0.046992558913992497,288
0.33177638053894043,0.004370821818260624,0.002948904037475586,0.00022973847022423566,0.0022329206657790293,15,log2,3,19,281,0.7924761676775628,"OrderedDict({'learning_rate': 0.0022329206657790293, 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 281, 'subsample': 0.7924761676775628})",0.7894736842105263,0.7627118644067796,0.782608695652174,0.7652173913043478,0.7256637168141593,0.7651350704775973,0.022188114654412096,219
0.09805703163146973,0.0036047772296881387,0.002150869369506836,0.0002519036249198296,0.0012112697144843266,5,log2,7,19,109,0.7919936571018229,"OrderedDict({'learning_rate': 0.0012112697144843266, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 19, 'n_estimators': 109, 'subsample': 0.7919936571018229})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,330
0.1978093147277832,0.0024581362344462676,0.0023574352264404295,0.00018463547313825833,0.03679173875477868,7,sqrt,2,18,205,0.5604642763186265,"OrderedDict({'learning_rate': 0.03679173875477868, 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 205, 'subsample': 0.5604642763186265})",0.82,0.7722772277227723,0.6808510638297872,0.7872340425531915,0.7789473684210526,0.7678619405053608,0.046490708144222126,182
0.9236435413360595,0.008561460144433878,0.0028342723846435545,0.00021130038887353953,0.0057366535645190534,14,,9,20,297,0.5635878295710208,"OrderedDict({'learning_rate': 0.0057366535645190534, 'max_depth': 14, 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 20, 'n_estimators': 297, 'subsample': 0.5635878295710208})",0.78,0.7524752475247525,0.7378640776699029,0.8,0.7647058823529411,0.7670090415095194,0.021555198776753312,195
1.574307346343994,0.052339662967888674,0.003151559829711914,0.0004616915449786857,0.07047603650803867,8,,5,19,419,0.5345080256894944,"OrderedDict({'learning_rate': 0.07047603650803867, 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 419, 'subsample': 0.5345080256894944})",0.7956989247311828,0.8163265306122449,0.6593406593406593,0.7789473684210526,0.7692307692307693,0.7639088504671818,0.05467578705523843,228
0.7722824573516845,0.00677789087197069,0.0024003028869628907,0.00023080812920299692,0.04553753503845314,2,,2,20,417,0.6742738668036223,"OrderedDict({'learning_rate': 0.04553753503845314, 'max_depth': 2, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 417, 'subsample': 0.6742738668036223})",0.8043478260869565,0.7722772277227723,0.6947368421052632,0.7872340425531915,0.7252747252747253,0.7567741327485817,0.04067492214744875,283
1.8995561599731445,0.03301553296021771,0.0029804229736328123,0.00017594918968172422,0.11727801267370999,11,,7,17,461,0.8538297681900769,"OrderedDict({'learning_rate': 0.11727801267370999, 'max_depth': 11, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 17, 'n_estimators': 461, 'subsample': 0.8538297681900769})",0.782608695652174,0.7708333333333334,0.6808510638297872,0.7578947368421053,0.7555555555555555,0.7495486770425911,0.035696226099305194,314
0.6476578712463379,0.007587428724363091,0.0026715755462646484,0.0002898254375451738,0.0010912418315418902,15,,8,18,123,0.8153122356260565,"OrderedDict({'learning_rate': 0.0010912418315418902, 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 18, 'n_estimators': 123, 'subsample': 0.8153122356260565})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,330
0.21304187774658204,0.002700979869856066,0.002996826171875,0.0002096125165616133,0.08669217504213396,8,sqrt,4,17,200,0.6132934799239158,"OrderedDict({'learning_rate': 0.08669217504213396, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 17, 'n_estimators': 200, 'subsample': 0.6132934799239158})",0.7872340425531915,0.8247422680412371,0.6881720430107527,0.8172043010752689,0.7708333333333334,0.7776371976027568,0.04884024821064952,78
