mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05805788040161133,0.0009199541896134044,0.003639364242553711,0.00019034773162646972,balanced,17,log2,2,6,60,"OrderedDict({'class_weight': 'balanced', 'max_depth': 17, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 60})",0.7628865979381443,0.7722772277227723,0.7272727272727273,0.7578947368421053,0.7578947368421053,0.7556452053235709,0.015127327794011053,136
0.10715246200561523,0.00114925834363844,0.004670476913452149,8.225248859760297e-05,,11,sqrt,10,5,117,"OrderedDict({'class_weight': None, 'max_depth': 11, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 117})",0.78,0.78,0.74,0.7692307692307693,0.72,0.7578461538461537,0.023924931909284644,109
0.2416386604309082,0.0014057262700424833,0.008797359466552735,0.0005291861657126988,balanced,49,log2,3,19,281,"OrderedDict({'class_weight': 'balanced', 'max_depth': 49, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 281})",0.7368421052631579,0.75,0.7096774193548387,0.7789473684210526,0.717391304347826,0.738571639477375,0.02468716570712868,304
0.09493131637573242,0.0015274781652857856,0.004576635360717773,9.653608013984181e-05,balanced,14,log2,7,19,109,"OrderedDict({'class_weight': 'balanced', 'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 19, 'n_estimators': 109})",0.7472527472527473,0.782608695652174,0.6593406593406593,0.7446808510638298,0.782608695652174,0.7432983297923168,0.04507116359327393,271
0.2223525047302246,0.0016067314789286948,0.006820201873779297,0.00014084255444463023,,22,sqrt,2,18,205,"OrderedDict({'class_weight': None, 'max_depth': 22, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 205})",0.78,0.7647058823529411,0.72,0.7692307692307693,0.7878787878787878,0.7643630878924996,0.023619468931851562,45
1.1282782077789306,0.026346245068387692,0.009076499938964843,0.0003454631274521651,balanced,46,,9,20,297,"OrderedDict({'class_weight': 'balanced', 'max_depth': 46, 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 20, 'n_estimators': 297})",0.6585365853658537,0.7608695652173914,0.6595744680851063,0.7446808510638298,0.7311827956989247,0.7109688530862212,0.04341821936176789,347
1.8222757816314696,0.005615082345869485,0.011519098281860351,0.0003960894747294432,,26,,5,19,419,"OrderedDict({'class_weight': None, 'max_depth': 26, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 419})",0.7083333333333334,0.7755102040816326,0.6938775510204082,0.7878787878787878,0.7128712871287128,0.7356942326885749,0.03827970716101692,316
1.8231977939605712,0.020673988749993988,0.012257671356201172,0.0006514048246457916,,6,,2,20,417,"OrderedDict({'class_weight': None, 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 417})",0.7291666666666666,0.76,0.6595744680851063,0.7920792079207921,0.7254901960784313,0.7332621077501994,0.044003203616451686,325
1.8855071544647217,0.054479495202870695,0.012768983840942383,0.000733613557229657,,35,,7,17,461,"OrderedDict({'class_weight': None, 'max_depth': 35, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 17, 'n_estimators': 461})",0.7272727272727273,0.7551020408163265,0.6938775510204082,0.7755102040816326,0.7346938775510204,0.7372912801484229,0.02745825602968459,309
0.49929442405700686,0.009187399568504126,0.005060720443725586,0.0004101719974754598,balanced,49,,8,18,123,"OrderedDict({'class_weight': 'balanced', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 18, 'n_estimators': 123})",0.6511627906976745,0.7111111111111111,0.6875,0.7659574468085106,0.75,0.7131462697234593,0.041595775155297714,346
0.05970454216003418,0.00031534871186594495,0.0038646697998046876,0.00011849442717949338,balanced,5,sqrt,1,20,50,"OrderedDict({'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50})",0.75,0.7252747252747253,0.6881720430107527,0.7096774193548387,0.7368421052631579,0.7219932585806951,0.021499713276491743,343
0.2081364631652832,0.000484137996264734,0.007724094390869141,0.00037610509013972165,,50,log2,3,14,238,"OrderedDict({'class_weight': None, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 14, 'n_estimators': 238})",0.7692307692307693,0.7450980392156863,0.7572815533980582,0.7647058823529411,0.72,0.751263248839491,0.01763608069982101,205
0.45637359619140627,0.0032986231254908396,0.013114833831787109,0.00015226662611493873,,50,sqrt,10,20,500,"OrderedDict({'class_weight': None, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 500})",0.7378640776699029,0.7647058823529411,0.75,0.7619047619047619,0.7450980392156863,0.7519145522286584,0.010109091066356143,192
0.059705257415771484,0.0026289618466948613,0.0030750274658203126,0.00021795311092597831,,50,sqrt,1,20,50,"OrderedDict({'class_weight': None, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50})",0.7524752475247525,0.7692307692307693,0.7,0.76,0.7346938775510204,0.7432799788613084,0.024431263984561864,272
