mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_probability,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013992977142333985,0.0025826905402859,0.002819252014160156,0.00016862201159665148,0.07715551750592743,2.5894307319256233,4,3.1535734273839785e-05,rbf,True,"OrderedDict({'C': 0.07715551750592743, 'coef0': 2.5894307319256233, 'degree': 4, 'gamma': 3.1535734273839785e-05, 'kernel': 'rbf', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.03292593955993652,0.0030616822494875613,0.0037113189697265624,0.00014545210757215473,43.42658056493013,1.390217437037239,3,5.337633091143161,rbf,True,"OrderedDict({'C': 43.42658056493013, 'coef0': 1.390217437037239, 'degree': 3, 'gamma': 5.337633091143161, 'kernel': 'rbf', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.021332979202270508,0.002913950578492341,0.0034302711486816407,0.0005078901024343567,0.0365891896391553,9.75688343830749,3,0.0003743420736230739,sigmoid,True,"OrderedDict({'C': 0.0365891896391553, 'coef0': 9.75688343830749, 'degree': 3, 'gamma': 0.0003743420736230739, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.0205535888671875,0.0020366404313391464,0.0027204036712646486,7.013679741090771e-05,0.013627477599257504,2.0506954055980713,3,0.15453539787586126,sigmoid,True,"OrderedDict({'C': 0.013627477599257504, 'coef0': 2.0506954055980713, 'degree': 3, 'gamma': 0.15453539787586126, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.015245628356933594,0.00035332634045551436,0.0028352737426757812,0.00017044003775946656,3.375503683806881,3.752052312174027,2,4.883454561052121e-05,sigmoid,True,"OrderedDict({'C': 3.375503683806881, 'coef0': 3.752052312174027, 'degree': 2, 'gamma': 4.883454561052121e-05, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.016084051132202147,0.0014169615809391763,0.0025287151336669924,0.00019669844307021876,0.16790552142528983,9.113698443889275,4,3.5724858861561017,sigmoid,True,"OrderedDict({'C': 0.16790552142528983, 'coef0': 9.113698443889275, 'degree': 4, 'gamma': 3.5724858861561017, 'kernel': 'sigmoid', 'probability': True})",0.7676767676767676,0.6947368421052632,0.6938775510204082,0.7619047619047619,0.7032967032967034,0.7242985252007809,0.03327553533800668,342
0.016340970993041992,0.0014027393602716151,0.002447509765625,0.00010565215824338346,9.642197799826475,4.651579371990834,4,0.0038232971259890766,sigmoid,True,"OrderedDict({'C': 9.642197799826475, 'coef0': 4.651579371990834, 'degree': 4, 'gamma': 0.0038232971259890766, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.7419354838709677,0.7419354838709677,0.7443932411674348,0.002006750429315459,216
0.013134574890136719,0.0006224956075919871,0.002132415771484375,3.436140308313407e-05,4.763191124143751,0.1865359421317703,5,2.2140505212039207e-05,sigmoid,True,"OrderedDict({'C': 4.763191124143751, 'coef0': 0.1865359421317703, 'degree': 5, 'gamma': 2.2140505212039207e-05, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.7419354838709677,0.7419354838709677,0.7443932411674348,0.002006750429315459,216
0.012399101257324218,0.00022399435530574518,0.00198822021484375,4.762846606924325e-05,21.944449138271548,6.667696268808786,4,0.18441882932924827,sigmoid,True,"OrderedDict({'C': 21.944449138271548, 'coef0': 6.667696268808786, 'degree': 4, 'gamma': 0.18441882932924827, 'kernel': 'sigmoid', 'probability': True})",0.6382978723404256,0.6326530612244898,0.43902439024390244,0.7326732673267327,0.68,0.6245297182271101,0.09943817863489336,350
0.02162480354309082,0.001474990901886346,0.0029296398162841795,0.00034652387842397056,0.011514205919416789,9.885948019412771,5,0.7117414559301061,sigmoid,True,"OrderedDict({'C': 0.011514205919416789, 'coef0': 9.885948019412771, 'degree': 5, 'gamma': 0.7117414559301061, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.019065999984741212,0.00012034292973915992,0.0030357837677001953,7.440661503344176e-05,100.0,5.2341817657718,5,0.00030267438331883914,sigmoid,True,"OrderedDict({'C': 100.0, 'coef0': 5.2341817657718, 'degree': 5, 'gamma': 0.00030267438331883914, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
0.019493818283081055,0.0010326181756924243,0.0028627872467041015,0.00025192109004406487,1.8986005375715767,6.495902444222832,5,2.789129058916046e-05,sigmoid,True,"OrderedDict({'C': 1.8986005375715767, 'coef0': 6.495902444222832, 'degree': 5, 'gamma': 2.789129058916046e-05, 'kernel': 'sigmoid', 'probability': True})",0.746031746031746,0.746031746031746,0.746031746031746,0.736,0.7419354838709677,0.7432061443932412,0.003936881228527724,230
